t,x,y,z,v,direction,anomaly_by_overspeed,anomaly_by_underspeed,anomaly_by_too_close,anomaly_by_low_altitude
0.0,100.87618658869245,172.62821999640323,7.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,100.6342720270298,172.3550756227234,7.0,0.364870530486334,1.129094386888222,0.09267218640904859,0.0,0.0,0.0
2.0,100.25140921283567,172.33238842982917,7.0,0.3835344094264121,0.05925671559927311,0.11933487060916016,0.0,0.0,0.0
3.0,100.28553087216655,172.3699764384358,7.0,0.050765598849071635,1.1015879457133437,0.0,1.0,0.0,0.0
4.0,99.97047306321593,172.0889605239887,7.0,0.42217456952462,0.8919503229680205,0.17453509932088576,0.0,0.0,0.0
5.0,99.76253588640935,172.16258826555327,7.0,0.22058765565232727,-0.3540864731132303,0.0,0.0,0.0,0.0
6.0,99.52416357449995,172.0273856117028,7.0,0.27404582954907236,0.5671911002056428,0.0,0.0,0.0,0.0
7.0,99.17241974313096,172.00947375329966,7.0,0.3521995990593865,0.05092302069218832,0.07457085579912363,0.0,0.0,0.0
8.0,98.71579865919277,171.82794362299276,7.0,0.491381727891997,0.3975509162679613,0.2734024684171386,0.0,0.0,0.0
9.0,98.94489095824845,171.87287166907805,7.0,0.23345622889882098,0.19611329700074084,0.0,0.0,0.0,0.0
10.0,98.6957982827025,171.48389006078696,7.0,0.46190242757466,1.5615939225773439,0.2312891822495143,0.0,0.0,0.0
11.0,98.51512083772472,171.45389221436855,7.0,0.1831507846377935,0.16602983522431805,0.0,0.16849215362206516,0.0,0.0
12.0,97.82711327073473,171.13072305442114,7.0,0.7601267777000154,0.46971745000024284,0.6573239681428792,0.0,0.0,0.0
13.0,98.04478695170144,171.48215598070024,7.0,0.41338472765535356,1.6144943417980133,0.16197818236479083,0.0,0.0,0.0
14.0,97.69132587435456,171.32298730322808,7.0,0.3876459739084808,0.4503145824906829,0.12520853415497263,0.0,0.0,0.0
15.0,97.50128182692536,171.18624210626888,7.0,0.23412814622484068,0.7195447519088587,0.0,0.0,0.0,0.0
16.0,97.31683415326667,171.16768534602127,7.0,0.18537879508992328,0.10060717969229167,0.0,0.14621204910076735,0.0,0.0
17.0,97.00839637840619,170.97463661769288,7.0,0.3638704061477015,0.6258919758311614,0.0912434373538593,0.0,0.0,0.0
18.0,96.94560080099171,171.06666706855577,7.0,0.11141314298073142,-1.4655562485786904,0.0,0.8858685701926858,0.0,0.0
19.0,96.62879864258498,170.9919867829429,7.0,0.32548541077963117,0.23573161871266665,0.0364077296851874,0.0,0.0,0.0
20.0,96.35224909891316,170.64742220159144,7.0,0.441819421061355,1.2459416015538334,0.2025991729447929,0.0,0.0,0.0
21.0,96.20977127041786,170.4646555180657,7.0,0.2317403551816778,1.28277280371208,0.0,0.0,0.0,0.0
22.0,95.90598771004538,170.49401414279254,7.0,0.3051989193926329,-0.09664323076215012,0.0074270277037612785,0.0,0.0,0.0
23.0,95.6889707300817,170.36777682545784,7.0,0.2510622032095135,0.5816932728297544,0.0,0.0,0.0,0.0
24.0,95.4276933774272,170.1393995658845,7.0,0.3470187713948223,0.8740798130916748,0.06716967342117472,0.0,0.0,0.0
25.0,95.5125463745196,169.92347312373013,7.0,0.2320005593463231,-2.544712026132019,0.0,0.0,0.0,0.0
26.0,95.04718310831782,170.01320989935732,7.0,0.4739363442804848,-0.19283166967518794,0.24848049182926404,0.0,0.0,0.0
27.0,94.66385862748893,170.04475434078915,7.0,0.38462021448174577,-0.08229174761711743,0.12088602068820826,0.0,0.0,0.0
28.0,94.62355197814233,169.77393552801257,7.0,0.273801854148703,6.718961192922834,0.0,0.0,0.0,0.0
29.0,94.30111248083062,169.66988356735453,7.0,0.3388126915323685,0.3227022791114582,0.05544670218909785,0.0,0.0,0.0
